Student_ID,Major_Category,Pre_GPA,GenAI_Hours,Study_Hours,Post_GPA,Skill_Retention_Score,Anxiety_Level_During_Exams,Burnout_Risk_Level,GPA_Improvement,AI_Usage,Study_AI_Ratio
100055,Business,3.15,0,15.1,3.39,62.77,5.0,Medium,0.24,Light,
100185,STEM,3.02,37,7.47,3.26,55.99,7.0,Medium,0.24,Heavy,0.2
100255,STEM,2.07,25,19.14,2.31,59.48,6.0,High,0.24,Heavy,0.77
100273,Arts,3.62,3,1.18,3.86,62.9,9.0,High,0.24,Light,0.39
100275,Business,3.71,0,10.72,3.95,100.0,6.0,Low,0.24,Light,
100288,Business,2.67,13,2.54,2.91,86.59,6.0,Medium,0.24,Heavy,0.2
100466,Humanities,3.05,1,17.33,3.29,89.28,4.0,Medium,0.24,Light,17.33
100531,Arts,3.67,7,10.7,3.91,87.06,1.0,Low,0.24,Moderate,1.53
100575,Arts,3.76,11,22.34,4.00,100.0,7.0,High,0.24,Moderate,2.03
100693,Business,3.32,3,13.71,3.56,68.65,3.0,Medium,0.24,Light,4.57
100755,STEM,2.66,2,9.61,2.90,78.84,3.0,High,0.24,Light,4.81
100851,STEM,3.13,11,2.71,3.37,83.56,4.0,Low,0.24,Moderate,0.25
100862,Humanities,2.90,0,15.04,3.14,100.0,4.0,Low,0.24,Light,
100883,STEM,3.53,4,14.33,3.77,77.28,1.0,Low,0.24,Light,3.58
100905,Humanities,3.45,0,9.88,3.69,72.87,5.0,Low,0.24,Light,
100953,STEM,2.58,20,11.24,2.82,86.19,5.0,High,0.24,Heavy,0.56
101081,Arts,3.22,9,19.95,3.46,66.28,2.0,High,0.24,Moderate,2.22
101108,Arts,2.90,22,6.51,3.14,68.9,7.0,High,0.24,Heavy,0.3
101163,Humanities,3.76,5,6.58,4.00,84.03,6.0,Low,0.24,Light,1.32
101175,Business,3.54,3,6.6,3.78,73.38,5.0,Low,0.24,Light,2.2
101204,Humanities,3.12,19,4.35,3.36,78.31,4.0,High,0.24,Heavy,0.23
101229,Medical,3.18,13,10.36,3.42,45.43,8.0,Medium,0.24,Heavy,0.8
101250,Business,3.58,10,8.21,3.82,64.91,6.0,High,0.24,Moderate,0.82
101258,Humanities,2.93,10,9.21,3.17,85.91,4.0,Medium,0.24,Moderate,0.92
101266,STEM,2.47,17,12.43,2.71,70.69,5.0,High,0.24,Heavy,0.73
101271,Business,2.81,3,14.33,3.05,96.02,1.0,Low,0.24,Light,4.78
101301,STEM,3.72,3,8.74,3.96,62.56,3.0,Medium,0.24,Light,2.91
101310,Arts,3.74,0,17.38,3.98,92.88,6.0,Medium,0.24,Light,
101318,Business,1.78,1,15.13,2.02,68.49,5.0,High,0.24,Light,15.13
101350,STEM,2.66,2,11.86,2.90,88.54,5.0,Medium,0.24,Light,5.93
101395,Humanities,3.76,3,15.6,4.00,80.9,1.0,Low,0.24,Light,5.2
101443,Business,3.64,16,18.65,3.88,62.97,4.0,Medium,0.24,Heavy,1.17
101447,Business,3.23,3,11.04,3.47,75.33,2.0,Medium,0.24,Light,3.68
101453,Arts,3.38,5,19.55,3.62,72.33,1.0,Medium,0.24,Light,3.91
101479,Arts,3.76,11,8.91,4.00,44.62,7.0,High,0.24,Moderate,0.81
101531,Humanities,3.76,2,14.99,4.00,73.11,3.0,Low,0.24,Light,7.5
101539,STEM,2.82,1,15.99,3.06,81.23,3.0,Medium,0.24,Light,15.99
